,Date,Low,High,Close,Open
5259,2018-11-26,1524.22,1584.81,1581.33,1539.0
5258,2018-11-23,1501.81,1536.2,1502.06,1517.0
5257,2018-11-21,1515.0,1550.0,1516.73,1542.99
5256,2018-11-20,1420.0,1534.75,1495.46,1437.5
5255,2018-11-19,1503.36,1581.19,1512.29,1577.01
5254,2018-11-16,1573.12,1614.48,1593.41,1587.5
5253,2018-11-15,1546.51,1624.82,1619.44,1581.01
5252,2018-11-14,1597.07,1673.0,1599.01,1656.32
5251,2018-11-13,1613.75,1677.06,1631.17,1649.29
5250,2018-11-12,1630.01,1708.55,1636.85,1698.24
5249,2018-11-09,1701.87,1743.92,1712.43,1732.5
5248,2018-11-08,1725.11,1784.0,1754.91,1755.0
5247,2018-11-07,1664.08,1759.23,1755.49,1673.0
5246,2018-11-06,1614.55,1665.0,1642.81,1618.35
5245,2018-11-05,1596.36,1658.09,1627.8,1657.57
5244,2018-11-02,1651.83,1697.44,1665.53,1678.59
5243,2018-11-01,1598.44,1670.45,1665.53,1623.53
5242,2018-10-31,1565.09,1623.91,1598.01,1569.99
5241,2018-10-30,1476.36,1540.99,1530.42,1486.16
5240,2018-10-29,1495.0,1665.74,1538.88,1660.0
5239,2018-10-26,1603.0,1698.46,1642.81,1649.59
5238,2018-10-25,1692.01,1794.81,1782.17,1703.34
5237,2018-10-24,1656.56,1777.71,1664.2,1773.7
5236,2018-10-23,1714.0,1776.34,1768.7,1742.24
5235,2018-10-22,1756.0,1809.5,1789.3,1784.0
5234,2018-10-19,1753.0,1809.1,1764.03,1785.16
5233,2018-10-18,1767.87,1830.15,1770.72,1821.49
5232,2018-10-17,1807.0,1845.0,1831.73,1842.79
5231,2018-10-16,1761.55,1823.88,1819.96,1783.5
5230,2018-10-15,1734.23,1795.05,1760.95,1795.0
5229,2018-10-12,1742.53,1808.95,1788.61,1808.0
5228,2018-10-11,1685.1,1755.4,1719.36,1724.0
5227,2018-10-10,1754.41,1858.56,1755.25,1857.89
5226,2018-10-09,1852.32,1896.68,1870.32,1859.99
5225,2018-10-08,1830.66,1902.0,1864.42,1874.0
5224,2018-10-05,1862.83,1929.08,1889.65,1917.99
5223,2018-10-04,1896.57,1956.0,1909.42,1949.0
5222,2018-10-03,1949.81,1989.7,1952.76,1981.7
5221,2018-10-02,1965.77,2013.39,1971.31,1999.99
5220,2018-10-01,2003.6,2033.19,2004.36,2021.99
5219,2018-09-28,1996.46,2026.52,2003.0,2004.41
5218,2018-09-27,1988.58,2016.16,2012.98,1993.24
5217,2018-09-26,1961.52,1995.25,1974.85,1968.5
5216,2018-09-25,1938.85,1975.91,1974.55,1942.9
5215,2018-09-24,1865.0,1936.88,1934.36,1903.79
5214,2018-09-21,1910.5,1957.31,1915.01,1954.22
5213,2018-09-20,1932.25,1955.0,1944.3,1938.58
5212,2018-09-19,1904.9,1940.83,1926.42,1940.5
5211,2018-09-18,1915.44,1958.2,1941.05,1918.65
5210,2018-09-17,1887.41,1956.82,1908.03,1954.73
5209,2018-09-14,1959.22,1993.65,1970.19,1992.93
5208,2018-09-13,1982.03,2008.76,1989.87,2000.0
5207,2018-09-12,1962.44,2000.0,1990.0,1994.0
5206,2018-09-11,1917.0,1988.88,1987.15,1928.27
5205,2018-09-10,1931.52,1973.04,1939.01,1971.0
5204,2018-09-07,1937.35,1975.2,1952.07,1938.71
5203,2018-09-06,1935.21,2007.5,1958.31,2006.51
5202,2018-09-05,1989.89,2040.38,1994.82,2038.11
5201,2018-09-04,2013.0,2050.5,2039.51,2026.5
5200,2018-08-31,2004.74,2022.38,2012.71,2007.0
5199,2018-08-30,1986.9,2025.57,2002.38,1997.42
5198,2018-08-29,1948.94,1998.69,1998.1,1953.45
5197,2018-08-28,1928.82,1941.78,1932.82,1937.73
5196,2018-08-27,1909.28,1927.7,1927.68,1915.0
5195,2018-08-24,1902.54,1916.01,1905.39,1910.51
5194,2018-08-23,1900.76,1919.5,1902.9,1907.17
5193,2018-08-22,1876.64,1905.8,1904.9,1876.64
5192,2018-08-21,1874.4,1897.75,1883.42,1880.0
5191,2018-08-20,1866.06,1891.75,1876.71,1890.57
5190,2018-08-17,1855.55,1888.0,1882.22,1885.8
5189,2018-08-16,1883.55,1905.0,1886.52,1903.94
5188,2018-08-15,1869.79,1916.21,1882.62,1909.55
5187,2018-08-14,1900.0,1921.01,1919.65,1919.39
5186,2018-08-13,1893.67,1925.0,1896.2,1898.5
5185,2018-08-10,1878.21,1899.5,1886.3,1888.51
5184,2018-08-09,1877.48,1914.57,1898.52,1882.0
5183,2018-08-08,1854.5,1891.51,1886.52,1861.0
5182,2018-08-07,1846.27,1869.72,1862.48,1854.53
5181,2018-08-06,1818.92,1847.77,1847.75,1825.81
5180,2018-08-03,1821.5,1841.0,1823.29,1837.74
5179,2018-08-02,1786.0,1836.56,1834.33,1788.77
5178,2018-08-01,1776.02,1798.44,1797.17,1784.0
5177,2018-07-31,1739.32,1801.83,1777.44,1786.49
5176,2018-07-30,1766.02,1829.5,1779.22,1827.33
5175,2018-07-27,1806.53,1880.05,1817.27,1876.05
5174,2018-07-26,1804.5,1844.68,1808.0,1839.0
5173,2018-07-25,1822.64,1863.84,1863.61,1829.3
5172,2018-07-24,1809.38,1840.0,1829.24,1829.01
5171,2018-07-23,1769.99,1819.0,1802.0,1812.21
5170,2018-07-20,1810.06,1834.84,1813.7,1825.01
5169,2018-07-19,1811.27,1841.0,1812.97,1829.46
5168,2018-07-18,1831.27,1858.88,1842.92,1848.0
5167,2018-07-17,1797.38,1851.69,1843.93,1811.56
5166,2018-07-16,1814.45,1841.95,1822.49,1821.95
5165,2018-07-13,1795.22,1815.3,1813.03,1803.93
5164,2018-07-12,1762.18,1798.0,1796.62,1764.51
5163,2018-07-11,1734.0,1756.96,1755.0,1737.99
5162,2018-07-10,1731.0,1750.0,1743.07,1738.53
5161,2018-07-09,1716.23,1739.56,1739.02,1724.05
5160,2018-07-06,1691.67,1715.27,1710.63,1696.0
5159,2018-07-05,1682.15,1710.69,1699.73,1705.38
5158,2018-07-03,1692.48,1725.0,1693.96,1723.96
5157,2018-07-02,1678.06,1713.89,1713.78,1682.7
5156,2018-06-29,1694.32,1723.41,1699.8,1717.0
5155,2018-06-28,1661.17,1705.5,1701.45,1672.54
5154,2018-06-27,1660.0,1711.95,1660.51,1708.11
5153,2018-06-26,1663.34,1701.57,1691.09,1672.37
5152,2018-06-25,1646.31,1705.0,1663.15,1702.51
5151,2018-06-22,1711.9,1743.0,1715.67,1742.62
5150,2018-06-21,1717.56,1763.1,1730.22,1760.0
5149,2018-06-20,1741.36,1762.93,1750.08,1742.5
5148,2018-06-19,1700.39,1736.11,1734.78,1709.04
5147,2018-06-18,1702.56,1726.74,1723.79,1706.26
5146,2018-06-15,1708.52,1720.87,1715.97,1714.0
5145,2018-06-14,1708.87,1724.8,1723.86,1713.48
5144,2018-06-13,1700.12,1713.75,1704.86,1702.81
5143,2018-06-12,1691.52,1699.51,1698.75,1693.0
5142,2018-06-11,1680.59,1694.24,1689.12,1681.51
5141,2018-06-08,1673.01,1689.44,1683.99,1681.12
5140,2018-06-07,1676.11,1699.9,1689.3,1698.56
5139,2018-06-06,1686.47,1714.5,1695.75,1704.51
5138,2018-06-05,1670.06,1699.0,1696.35,1672.99
5137,2018-06-04,1645.49,1665.68,1665.27,1648.9
5136,2018-06-01,1635.09,1646.73,1641.54,1637.03
5135,2018-05-31,1621.35,1635.0,1629.62,1623.0
5134,2018-05-30,1612.93,1626.0,1624.89,1618.1
5133,2018-05-29,1600.15,1621.79,1612.87,1600.71
5132,2018-05-25,1600.45,1614.12,1610.15,1603.0
5131,2018-05-24,1588.38,1608.24,1603.07,1598.03
5130,2018-05-23,1566.34,1601.86,1601.86,1571.05
5129,2018-05-22,1575.25,1589.89,1581.4,1589.89
5128,2018-05-21,1575.0,1592.05,1585.46,1585.0
5127,2018-05-18,1572.1,1583.59,1574.37,1581.33
5126,2018-05-17,1573.0,1594.04,1581.76,1580.56
5125,2018-05-16,1576.67,1594.43,1587.28,1577.5
5124,2018-05-15,1565.22,1587.8,1576.12,1587.8
5123,2018-05-14,1600.05,1611.18,1601.54,1604.0
5122,2018-05-11,1597.89,1611.1,1602.91,1610.99
5121,2018-05-10,1603.44,1615.6,1609.08,1608.48
5120,2018-05-09,1592.0,1608.0,1608.0,1600.0
5119,2018-05-08,1582.51,1596.88,1592.39,1595.0
5118,2018-05-07,1587.83,1606.95,1600.14,1589.34
5117,2018-05-04,1562.19,1584.9,1580.95,1562.45
5116,2018-05-03,1546.02,1574.8,1572.08,1560.01
5115,2018-05-02,1566.36,1588.5,1569.68,1580.98
5114,2018-05-01,1552.18,1585.0,1582.26,1563.22
5113,2018-04-30,1560.94,1596.0,1566.13,1582.5
5112,2018-04-27,1567.39,1638.1,1572.62,1634.01
5111,2018-04-26,1478.5,1529.42,1517.96,1485.01
5110,2018-04-25,1415.02,1469.99,1460.17,1458.0
5109,2018-04-24,1448.45,1539.5,1460.09,1535.8
5108,2018-04-23,1503.41,1548.0,1517.86,1546.69
5107,2018-04-20,1516.09,1561.2,1527.49,1561.2
5106,2018-04-19,1539.06,1568.52,1556.91,1543.22
5105,2018-04-18,1504.11,1533.8,1527.84,1514.65
5104,2018-04-17,1457.02,1507.19,1503.83,1462.3
5103,2018-04-16,1427.48,1447.0,1441.5,1445.0
5102,2018-04-13,1424.52,1459.78,1430.79,1449.14
5101,2018-04-12,1435.06,1452.12,1448.5,1439.5
5100,2018-04-11,1424.89,1448.78,1427.05,1439.44
5099,2018-04-10,1415.7,1438.38,1436.22,1431.99
5098,2018-04-09,1402.57,1438.48,1406.08,1425.03
5097,2018-04-06,1400.26,1452.5,1405.23,1429.97
5096,2018-04-05,1427.07,1459.56,1451.75,1441.99
5095,2018-04-04,1352.88,1415.39,1410.57,1358.24
5094,2018-04-03,1355.33,1414.0,1392.05,1391.38
5093,2018-04-02,1355.0,1421.36,1371.99,1417.62
5092,2018-03-29,1365.2,1455.47,1447.34,1406.0
5091,2018-03-28,1386.17,1455.9,1431.42,1447.0
5090,2018-03-27,1482.32,1575.96,1497.05,1572.4
5089,2018-03-26,1499.25,1556.99,1555.86,1530.0
5088,2018-03-23,1495.36,1549.02,1495.56,1539.01
5087,2018-03-22,1542.4,1573.85,1544.92,1565.47
5086,2018-03-21,1563.17,1590.0,1581.86,1586.45
5085,2018-03-20,1545.41,1587.0,1586.51,1550.34
5084,2018-03-19,1525.35,1561.66,1544.93,1554.53
5083,2018-03-16,1567.5,1589.44,1571.68,1583.45
5082,2018-03-15,1578.11,1596.91,1582.32,1595.0
5081,2018-03-14,1590.89,1606.44,1591.0,1597.0
5080,2018-03-13,1578.01,1617.54,1588.18,1615.96
5079,2018-03-12,1586.7,1605.33,1598.39,1592.6
5078,2018-03-09,1559.08,1578.94,1578.89,1563.5
5077,2018-03-08,1545.25,1554.88,1551.86,1550.0
5076,2018-03-07,1522.51,1545.9,1545.0,1526.52
5075,2018-03-06,1528.0,1542.13,1537.64,1533.2
5074,2018-03-05,1481.0,1525.38,1523.61,1494.24
5073,2018-03-02,1455.01,1501.05,1500.25,1469.1
5072,2018-03-01,1465.0,1518.49,1493.45,1513.6
5071,2018-02-28,1512.0,1528.7,1512.45,1519.51
5070,2018-02-27,1507.21,1526.78,1511.98,1524.5
5069,2018-02-26,1507.0,1522.84,1521.95,1509.2
5068,2018-02-23,1486.5,1500.0,1500.0,1495.34
5067,2018-02-22,1475.76,1502.54,1485.34,1495.36
5066,2018-02-21,1478.92,1503.49,1482.92,1485.0
5065,2018-02-20,1446.49,1488.77,1468.35,1446.49
5064,2018-02-16,1446.56,1465.8,1448.69,1457.37
5063,2018-02-15,1436.84,1468.94,1461.76,1466.89
5062,2018-02-14,1403.36,1452.06,1451.05,1406.25
5061,2018-02-13,1383.53,1419.72,1414.51,1385.93
5060,2018-02-12,1344.01,1393.81,1386.23,1364.67
5059,2018-02-09,1265.93,1383.5,1339.6,1373.49
5058,2018-02-08,1349.94,1433.75,1350.5,1429.67
5057,2018-02-07,1415.15,1460.99,1416.78,1449.0
5056,2018-02-06,1351.79,1443.99,1442.84,1361.46
5055,2018-02-05,1320.72,1458.98,1390.0,1402.62
5054,2018-02-02,1414.0,1498.0,1429.95,1477.39
5053,2018-02-01,1385.14,1459.88,1390.0,1445.0
5052,2018-01-31,1450.04,1472.58,1450.89,1451.3
5051,2018-01-30,1392.0,1439.25,1437.82,1403.17
5050,2018-01-29,1400.44,1431.39,1417.68,1409.18
5049,2018-01-26,1380.91,1402.53,1402.05,1392.01
5048,2018-01-25,1357.62,1378.34,1377.95,1368.0
5047,2018-01-24,1338.0,1388.16,1357.51,1374.82
5046,2018-01-23,1337.34,1364.9,1362.54,1338.09
5045,2018-01-22,1296.66,1327.45,1327.31,1297.17
5044,2018-01-19,1292.99,1313.0,1294.58,1312.0
5043,2018-01-18,1284.02,1304.6,1293.32,1293.95
5042,2018-01-17,1280.88,1314.0,1295.0,1312.24
5041,2018-01-16,1292.3,1339.94,1304.86,1323.0
5040,2018-01-12,1273.39,1305.76,1305.2,1273.39
5039,2018-01-11,1256.46,1276.77,1276.68,1259.74
5038,2018-01-10,1237.23,1254.33,1254.33,1245.15
5037,2018-01-09,1241.76,1259.33,1252.7,1256.9
5036,2018-01-08,1232.03,1253.08,1246.87,1236.0
5035,2018-01-05,1210.0,1229.14,1229.14,1217.51
5034,2018-01-04,1204.66,1215.87,1209.59,1205.0
5033,2018-01-03,1188.3,1205.49,1204.2,1188.3
5032,2018-01-02,1170.51,1190.0,1189.01,1172.0
5031,2017-12-29,1167.5,1184.0,1169.47,1182.35
5030,2017-12-28,1184.38,1190.1,1186.1,1189.0
5029,2017-12-27,1175.61,1187.29,1182.26,1179.91
5028,2017-12-26,1160.55,1178.32,1176.76,1168.36
5027,2017-12-22,1167.83,1174.62,1168.36,1172.08
5026,2017-12-21,1167.64,1179.17,1174.76,1175.9
5025,2017-12-20,1176.0,1191.0,1177.62,1190.5
5024,2017-12-19,1179.14,1192.97,1187.38,1189.15
5023,2017-12-18,1180.91,1194.78,1190.58,1187.37
5022,2017-12-15,1169.33,1182.75,1179.14,1179.03
5021,2017-12-14,1162.45,1177.93,1174.26,1163.71
5020,2017-12-13,1160.27,1170.87,1164.13,1170.0
5019,2017-12-12,1161.61,1173.6,1165.08,1166.51
5018,2017-12-11,1157.0,1169.9,1168.92,1164.6
5017,2017-12-08,1157.1,1172.79,1162.0,1170.4
5016,2017-12-07,1151.0,1163.19,1159.79,1156.59
5015,2017-12-06,1136.08,1155.89,1152.35,1137.99
5014,2017-12-05,1124.74,1159.27,1141.57,1128.26
5013,2017-12-04,1128.0,1175.2,1133.95,1173.85
5012,2017-12-01,1152.0,1179.65,1162.35,1172.05
5011,2017-11-30,1160.0,1178.57,1176.75,1167.1
5010,2017-11-29,1145.19,1194.8,1161.27,1194.8
5009,2017-11-28,1188.52,1205.34,1193.6,1204.88
5008,2017-11-27,1191.15,1213.41,1195.83,1202.66
5007,2017-11-24,1160.7,1186.84,1186.0,1160.7
5006,2017-11-22,1141.0,1160.27,1156.16,1141.0
5005,2017-11-21,1128.2,1140.0,1139.49,1132.86
5004,2017-11-20,1122.55,1133.42,1126.31,1129.77
5003,2017-11-17,1125.81,1138.8,1129.88,1138.28
5002,2017-11-16,1130.05,1138.16,1137.29,1130.16
5001,2017-11-15,1121.63,1131.75,1126.69,1127.01
5000,2017-11-14,1123.89,1138.0,1136.84,1130.11
4999,2017-11-13,1122.34,1139.9,1129.17,1123.0
4998,2017-11-10,1124.06,1131.75,1125.35,1126.1
4997,2017-11-09,1115.77,1129.62,1129.13,1125.96
4996,2017-11-08,1119.11,1135.54,1132.88,1122.82
4995,2017-11-07,1117.5,1130.6,1123.17,1124.74
4994,2017-11-06,1108.77,1125.41,1120.66,1109.15
4993,2017-11-03,1088.52,1112.68,1111.6,1091.15
4992,2017-11-02,1086.87,1101.94,1094.22,1097.81
4991,2017-11-01,1096.74,1108.97,1103.68,1105.4
4990,2017-10-31,1101.12,1110.54,1105.28,1109.0
4989,2017-10-30,1093.56,1122.79,1110.85,1095.01
4988,2017-10-27,1050.55,1105.58,1100.95,1058.14
4987,2017-10-26,968.55,982.9,972.43,980.33
4986,2017-10-25,966.24,984.44,972.91,978.0
4985,2017-10-24,965.0,979.85,975.9,969.0
4984,2017-10-23,962.5,986.775,966.3,986.73
4983,2017-10-20,982.0,994.62,982.91,993.53
4982,2017-10-19,980.24,991.05,986.61,990.0
4981,2017-10-18,996.55,1022.31,997.0,1009.27
