,Date,Low,High,Close,Open
4961,2018-11-26,9.06,9.21,9.18,9.07
4960,2018-11-23,9.05,9.16,9.09,9.05
4959,2018-11-21,8.945,9.1,9.07,8.99
4958,2018-11-20,9.05,9.19,9.09,9.18
4957,2018-11-19,9.205,9.33,9.29,9.33
4956,2018-11-16,9.25,9.37,9.33,9.28
4955,2018-11-15,9.16,9.37,9.33,9.27
4954,2018-11-14,9.165,9.44,9.25,9.41
4953,2018-11-13,9.33,9.46,9.4,9.37
4952,2018-11-12,9.27,9.47,9.34,9.42
4951,2018-11-09,9.365,9.5,9.49,9.41
4950,2018-11-08,9.455,9.65,9.51,9.61
4949,2018-11-07,9.58,9.685,9.61,9.62
4948,2018-11-06,9.39,9.55,9.48,9.44
4947,2018-11-05,9.29,9.47,9.4,9.29
4946,2018-11-02,9.23,9.41,9.25,9.34
4945,2018-11-01,9.21,9.4,9.3,9.39
4944,2018-10-31,9.41,9.54,9.47,9.45
4943,2018-10-30,9.1,9.32,9.19,9.16
4942,2018-10-29,8.88,9.1,8.97,9.08
4941,2018-10-26,8.85,9.05,9.02,8.99
4940,2018-10-25,9.045,9.2,9.11,9.08
4939,2018-10-24,9.045,9.37,9.06,9.3
4938,2018-10-23,9.22,9.42,9.4,9.24
4937,2018-10-22,9.4,9.58,9.48,9.57
4936,2018-10-19,9.54,9.76,9.58,9.6
4935,2018-10-18,9.35,9.78,9.54,9.78
4934,2018-10-17,9.74,10.06,9.8,10.06
4933,2018-10-16,9.91,10.52,10.22,9.95
4932,2018-10-15,9.79,9.96,9.91,9.85
4931,2018-10-12,9.57,9.76,9.74,9.65
4930,2018-10-11,9.46,9.68,9.52,9.53
4929,2018-10-10,9.63,9.84,9.74,9.81
4928,2018-10-09,9.93,10.035,10.02,9.97
4927,2018-10-08,9.92,10.07,10.03,9.97
4926,2018-10-05,10.01,10.19,10.17,10.02
4925,2018-10-04,9.8,10.015,10.0,9.81
4924,2018-10-03,10.01,10.15,10.04,10.12
4923,2018-10-02,10.2,10.32,10.27,10.32
4922,2018-10-01,10.295,10.39,10.37,10.34
4921,2018-09-28,10.12,10.25,10.17,10.22
4920,2018-09-27,10.07,10.195,10.1,10.1
4919,2018-09-26,10.03,10.2,10.06,10.06
4918,2018-09-25,10.025,10.185,10.15,10.06
4917,2018-09-24,9.93,10.07,9.95,10.04
4916,2018-09-21,9.89,10.04,9.93,10.04
4915,2018-09-20,9.97,10.1,10.07,10.08
4914,2018-09-19,9.99,10.23,10.01,10.2
4913,2018-09-18,10.08,10.18,10.14,10.18
4912,2018-09-17,10.2,10.29,10.25,10.21
4911,2018-09-14,10.27,10.54,10.32,10.52
4910,2018-09-13,10.47,10.635,10.61,10.6
4909,2018-09-12,10.525,10.65,10.55,10.57
4908,2018-09-11,20.7,21.11,20.97,20.72
4907,2018-09-10,20.595,20.96,20.7,20.76
4906,2018-09-07,20.73,21.07,20.85,20.78
4905,2018-09-06,20.565,20.805,20.8,20.59
4904,2018-09-05,20.34,20.76,20.71,20.38
4903,2018-09-04,20.56,20.92,20.76,20.86
4902,2018-08-31,20.6,20.8,20.77,20.62
4901,2018-08-30,20.27,20.51,20.46,20.36
4900,2018-08-29,20.32,20.53,20.35,20.44
4899,2018-08-28,20.61,20.71,20.65,20.7
4898,2018-08-27,20.52,20.78,20.54,20.65
4897,2018-08-24,20.175,20.43,20.3,20.43
4896,2018-08-23,20.36,20.73,20.38,20.6
4895,2018-08-22,20.41,20.57,20.5,20.49
4894,2018-08-21,20.45,20.745,20.49,20.59
4893,2018-08-20,20.285,20.775,20.5,20.5
4892,2018-08-17,20.93,21.14,21.08,20.98
4891,2018-08-16,20.91,21.04,20.99,21.0
4890,2018-08-15,20.6,20.9,20.87,20.78
4889,2018-08-14,20.77,20.95,20.9,20.81
4888,2018-08-13,20.79,20.95,20.82,20.87
4887,2018-08-10,20.67,20.835,20.8,20.71
4886,2018-08-09,20.82,20.98,20.9,20.85
4885,2018-08-08,20.53,20.86,20.75,20.6
4884,2018-08-07,20.3,20.66,20.6,20.65
4883,2018-08-06,20.32,20.61,20.59,20.43
4882,2018-08-03,20.255,20.55,20.54,20.35
4881,2018-08-02,20.12,20.44,20.38,20.18
4880,2018-08-01,20.2,20.36,20.35,20.25
4879,2018-07-31,20.07,20.21,20.18,20.11
4878,2018-07-30,19.88,20.3,19.94,20.2
4877,2018-07-27,20.23,20.63,20.34,20.6
4876,2018-07-26,20.44,20.6,20.54,20.51
4875,2018-07-25,20.41,20.68,20.58,20.44
4874,2018-07-24,20.26,20.42,20.39,20.35
4873,2018-07-23,19.985,20.18,20.15,20.05
4872,2018-07-20,19.885,20.15,20.01,19.9
4871,2018-07-19,19.44,19.81,19.71,19.44
4870,2018-07-18,19.66,19.82,19.68,19.76
4869,2018-07-17,19.52,19.94,19.9,19.57
4868,2018-07-16,19.535,19.77,19.6,19.73
4867,2018-07-13,19.1,19.63,19.42,19.12
4866,2018-07-12,19.475,20.09,20.01,19.54
4865,2018-07-11,19.53,19.79,19.76,19.53
4864,2018-07-10,19.28,19.88,19.78,19.45
4863,2018-07-09,19.23,19.44,19.4,19.26
4862,2018-07-06,19.03,19.215,19.15,19.12
4861,2018-07-05,18.91,19.37,19.34,18.98
4860,2018-07-03,19.61,19.86,19.69,19.795
4859,2018-07-02,19.38,19.65,19.61,19.39
4858,2018-06-29,19.13,19.51,19.43,19.15
4857,2018-06-28,18.63,19.06,19.0,18.66
4856,2018-06-27,18.49,18.7925,18.66,18.54
4855,2018-06-26,18.55,18.75,18.72,18.6
4854,2018-06-25,18.57,18.71,18.64,18.66
4853,2018-06-22,18.295,18.75,18.72,18.39
4852,2018-06-21,18.155,18.275,18.23,18.23
4851,2018-06-20,18.14,18.27,18.16,18.22
4850,2018-06-19,18.145,18.3,18.2,18.3
4849,2018-06-18,18.41,18.55,18.44,18.5
4848,2018-06-15,18.56,18.77,18.73,18.59
4847,2018-06-14,18.15,18.49,18.16,18.49
4846,2018-06-13,18.81,19.1,18.82,19.0
4845,2018-06-12,18.775,19.06,19.0,18.8
4844,2018-06-11,18.64,18.81,18.75,18.73
4843,2018-06-08,18.56,18.8,18.73,18.58
4842,2018-06-07,18.56,18.8,18.57,18.73
4841,2018-06-06,18.42,18.74,18.74,18.46
4840,2018-06-05,18.185,18.39,18.36,18.3
4839,2018-06-04,18.35,18.46,18.44,18.37
4838,2018-06-01,18.215,18.34,18.29,18.27
4837,2018-05-31,18.16,18.31,18.19,18.18
4836,2018-05-30,17.915,18.14,18.14,18.06
4835,2018-05-29,17.88,18.11,18.0,18.05
4834,2018-05-25,18.16,18.345,18.32,18.2
