,Date,Low,High,Close,Open
1275,2018-11-26,5.51,5.85,5.72,5.73
1274,2018-11-23,5.62,5.77,5.65,5.69
1273,2018-11-21,5.53,5.77,5.75,5.6
1272,2018-11-20,5.36,5.64,5.56,5.51
1271,2018-11-19,5.6,5.84,5.64,5.71
1270,2018-11-16,5.535,5.95,5.73,5.94
1269,2018-11-15,5.78,6.0,5.99,5.87
1268,2018-11-14,5.86,6.13,5.92,6.04
1267,2018-11-13,5.82,6.14,5.93,6.14
1266,2018-11-12,5.98,6.22,6.14,6.02
1265,2018-11-09,6.025,6.3802,6.08,6.33
1264,2018-11-08,6.01,6.42,6.4,6.03
1263,2018-11-07,5.78,6.22,6.01,6.19
1262,2018-11-06,5.59,6.35,6.12,5.73
1261,2018-11-05,5.56,6.07,5.73,5.61
1260,2018-11-02,5.32,5.765,5.54,5.7
1259,2018-11-01,5.26,6.01,5.64,6.01
1258,2018-10-31,5.72,7.84,5.91,6.82
1257,2018-10-30,9.65,10.08,10.05,9.65
1256,2018-10-29,9.57,9.93,9.69,9.7
1255,2018-10-26,9.32,9.73,9.57,9.55
1254,2018-10-25,9.6242,10.14,9.68,9.64
1253,2018-10-24,9.5,10.3,9.57,10.18
1252,2018-10-23,9.51,10.27,10.2,9.82
1251,2018-10-22,9.9,10.23,9.95,9.94
1250,2018-10-19,9.84,10.42,9.9,10.42
1249,2018-10-18,10.37,10.76,10.4,10.51
1248,2018-10-17,10.41,10.71,10.57,10.71
1247,2018-10-16,10.27,10.75,10.74,10.39
1246,2018-10-15,9.99,10.54,10.33,9.99
1245,2018-10-12,9.86,10.4,9.99,10.33
1244,2018-10-11,10.12,10.55,10.16,10.19
1243,2018-10-10,10.07,10.55,10.16,10.35
1242,2018-10-09,10.0727,10.5,10.37,10.11
1241,2018-10-08,10.13,10.55,10.17,10.22
1240,2018-10-05,10.145,10.52,10.25,10.26
1239,2018-10-04,10.02,10.45,10.25,10.34
1238,2018-10-03,10.17,10.41,10.37,10.29
1237,2018-10-02,10.1301,10.46,10.26,10.41
1236,2018-10-01,10.35,11.13,10.44,11.1
1235,2018-09-28,10.84,11.21,11.1,10.89
1234,2018-09-27,10.731,10.97,10.93,10.82
1233,2018-09-26,10.81,11.11,10.82,10.9
1232,2018-09-25,10.75,11.36,10.89,11.36
1231,2018-09-24,11.16,11.47,11.28,11.21
1230,2018-09-21,10.955,11.4,11.19,11.0
1229,2018-09-20,10.57,11.03,10.98,10.65
1228,2018-09-19,10.67,10.94,10.9,10.67
1227,2018-09-18,10.53,10.9969,10.72,10.76
1226,2018-09-17,10.465,10.75,10.71,10.7
1225,2018-09-14,10.52,10.91,10.69,10.91
1224,2018-09-13,10.775,11.03,10.95,10.95
1223,2018-09-12,10.64,11.21,10.92,11.09
1222,2018-09-11,10.705,11.13,11.09,10.79
1221,2018-09-10,10.2711,10.83,10.8,10.7
1220,2018-09-07,10.71,11.38,10.83,11.2
1219,2018-09-06,11.22,11.57,11.25,11.5
1218,2018-09-05,11.21,11.52,11.43,11.37
1217,2018-09-04,11.18,11.62,11.38,11.25
1216,2018-08-31,11.03,11.47,11.3,11.03
1215,2018-08-30,10.78,11.2,11.07,11.2
1214,2018-08-29,11.0,11.23,11.2,11.13
1213,2018-08-28,11.12,11.36,11.16,11.24
1212,2018-08-27,11.14,11.32,11.16,11.25
1211,2018-08-24,10.9412,11.29,11.17,11.15
1210,2018-08-23,11.121,11.35,11.17,11.28
1209,2018-08-22,11.17,11.54,11.32,11.36
1208,2018-08-21,11.2232,11.49,11.33,11.28
1207,2018-08-20,10.96,11.41,11.21,11.35
1206,2018-08-17,10.89,11.3,11.28,11.12
1205,2018-08-16,11.01,11.46,11.15,11.06
1204,2018-08-15,10.8,11.63,10.94,11.63
1203,2018-08-14,11.66,12.4172,11.73,12.06
1202,2018-08-13,11.3398,12.268,12.02,11.38
1201,2018-08-10,10.91,11.43,11.38,11.04
1200,2018-08-09,11.01,11.4743,11.07,11.11
1199,2018-08-08,10.6,11.28,10.99,10.81
1198,2018-08-07,10.45,11.09,10.81,10.55
1197,2018-08-06,10.47,11.53,10.58,10.9
1196,2018-08-03,9.86,10.94,10.9,10.0
1195,2018-08-02,9.2733,10.15,10.02,9.35
1194,2018-08-01,7.7,9.8,9.58,7.9
1193,2018-07-31,6.51,6.72,6.63,6.59
1192,2018-07-30,6.561,6.9,6.62,6.75
1191,2018-07-27,6.65,6.89,6.67,6.81
1190,2018-07-26,6.72,7.18,6.76,7.12
1189,2018-07-25,7.03,7.26,7.11,7.14
1188,2018-07-24,6.87,7.39,7.14,7.3
1187,2018-07-23,7.2,7.78,7.26,7.74
1186,2018-07-20,7.65,7.93,7.72,7.88
1185,2018-07-19,7.85,8.12,7.91,7.98
1184,2018-07-18,8.01,8.23,8.05,8.2
1183,2018-07-17,8.05,8.24,8.22,8.1
1182,2018-07-16,7.95,8.2899,8.1,8.17
1181,2018-07-13,8.14,8.4621,8.17,8.39
1180,2018-07-12,8.321,8.55,8.39,8.5
1179,2018-07-11,8.38,8.65,8.46,8.56
1178,2018-07-10,8.53,8.71,8.59,8.71
1177,2018-07-09,8.4,8.7,8.61,8.54
1176,2018-07-06,8.45,8.75,8.48,8.57
1175,2018-07-05,8.131,8.63,8.6,8.23
1174,2018-07-03,8.07,8.39,8.18,8.26
1173,2018-07-02,8.09,8.47,8.3,8.37
1172,2018-06-29,8.36,8.6699,8.41,8.57
1171,2018-06-28,8.25,8.76,8.54,8.33
1170,2018-06-27,8.32,8.75,8.33,8.71
1169,2018-06-26,8.4631,8.8,8.76,8.53
1168,2018-06-25,8.43,8.7,8.54,8.7
1167,2018-06-22,8.4,8.76,8.7,8.55
1166,2018-06-21,8.61,8.93,8.71,8.66
1165,2018-06-20,8.58,8.83,8.65,8.68
1164,2018-06-19,8.1349,8.74,8.66,8.38
1163,2018-06-18,8.37,8.75,8.43,8.66
1162,2018-06-15,8.16,8.85,8.74,8.16
1161,2018-06-14,7.85,8.21,8.15,8.0
1160,2018-06-13,7.9,8.2,7.99,8.14
1159,2018-06-12,8.05,8.54,8.14,8.45
1158,2018-06-11,8.17,8.47,8.41,8.24
1157,2018-06-08,8.09,8.42,8.22,8.35
1156,2018-06-07,8.23,8.56,8.35,8.31
1155,2018-06-06,8.04,8.385,8.31,8.04
1154,2018-06-05,7.85,8.04,7.99,7.87
1153,2018-06-04,7.69,8.032,7.85,7.7
1152,2018-06-01,7.55,7.75,7.68,7.7
1151,2018-05-31,7.65,7.91,7.66,7.86
1150,2018-05-30,7.63,7.95,7.87,7.68
1149,2018-05-29,7.52,7.92,7.65,7.71
1148,2018-05-25,7.23,7.85,7.82,7.34
1147,2018-05-24,7.25,7.5956,7.3,7.5
1146,2018-05-23,7.25,7.64,7.57,7.32
1145,2018-05-22,7.6162,8.5,8.18,7.66
1144,2018-05-21,7.48,8.41,7.56,8.25
1143,2018-05-18,7.21,8.3299,8.01,7.31
1142,2018-05-17,7.1,7.3515,7.29,7.12
1141,2018-05-16,6.47,7.1,7.07,6.47
1140,2018-05-15,6.38,6.55,6.43,6.43
1139,2018-05-14,6.38,6.51,6.49,6.38
1138,2018-05-11,6.37,6.48,6.41,6.37
1137,2018-05-10,6.31,6.585,6.4,6.32
1136,2018-05-09,6.32,6.53,6.34,6.51
1135,2018-05-08,6.36,6.58,6.48,6.56
1134,2018-05-07,6.21,6.62,6.57,6.28
1133,2018-05-04,5.96,6.38,6.21,6.07
1132,2018-05-03,6.06,6.25,6.08,6.22
1131,2018-05-02,6.18,6.31,6.24,6.2
1130,2018-05-01,6.09,6.25,6.23,6.21
1129,2018-04-30,6.18,6.4,6.23,6.37
1128,2018-04-27,6.05,6.34,6.33,6.2
1127,2018-04-26,5.94,6.24,6.17,6.0
1126,2018-04-25,5.85,6.17,5.99,6.17
1125,2018-04-24,5.77,6.19,6.13,5.89
1124,2018-04-23,5.71,5.89,5.83,5.76
1123,2018-04-20,5.7,5.89,5.72,5.82
1122,2018-04-19,5.76,5.96,5.85,5.83
1121,2018-04-18,5.78,5.94,5.81,5.84
1120,2018-04-17,5.8,5.94,5.81,5.88
1119,2018-04-16,5.591,5.85,5.77,5.65
1118,2018-04-13,5.6002,5.79,5.64,5.74
1117,2018-04-12,5.68,5.85,5.7,5.75
1116,2018-04-11,5.71,5.8254,5.75,5.72
1115,2018-04-10,5.61,5.85,5.76,5.67
1114,2018-04-09,5.57,5.84,5.59,5.84
1113,2018-04-06,5.71,5.88,5.78,5.78
1112,2018-04-05,5.77,5.88,5.83,5.79
1111,2018-04-04,5.5598,5.7763,5.75,5.58
1110,2018-04-03,5.56,5.75,5.67,5.65
1109,2018-04-02,5.33,5.61,5.52,5.5
1108,2018-03-29,5.33,5.7,5.44,5.46
1107,2018-03-28,5.335,5.64,5.38,5.59
1106,2018-03-27,5.5,5.65,5.57,5.64
1105,2018-03-26,5.3101,5.65,5.61,5.41
1104,2018-03-23,5.26,5.44,5.31,5.39
1103,2018-03-22,5.23,5.48,5.36,5.45
1102,2018-03-21,5.37,5.64,5.5,5.4
